,rally,receiving_shot,winning_shot,combined
3086,5+s38z3m1o3*,m1,o3,m1o3
3087,6+f27v3m1o1*,m1,o1,m1o1
3088,4+f17h3s;3s1*,h3,s1,h3s1
3089,6+f28v3b3*,v3,b3,v3b3
3090,6+b17h1l2o3*,l2,o3,l2o3
3091,6+f38z1f3p^3*,z1,f3,z1f3
3092,6+s27v3s2*,v3,s2,v3s2
3093,6+s27v1l3p3*,l3,p3,l3p3
3094,4+s37z3i1*,z3,i1,z3i1
3095,6+b27h1f2z3*,f2,z3,f2z3
3096,6+s38z1f1v3*,f1,v3,f1v3
3097,5+b38z3b1*,z3,b1,z3b1
3098,4+b28v1l3o1*,l3,o1,l3o1
3099,4+s27s3b3*,s3,b3,s3b3
3100,6+s28z3m2o1*,m2,o1,m2o1
3101,5+f27v2b3*,v2,b3,v2b3
3102,4+b27h1f2v3*,f2,v3,f2v3
3103,6+f17f3m2o3*,m2,o3,m2o3
3104,4+f38z1l2o1l2o2*,l2,o2,l2o2
3105,5+f27v3m3o3*,m3,o3,m3o3
3106,5+b287z2b3*,z2,b3,z2b3
3107,5+b27z3m2o3*,m2,o3,m2o3
3108,5+b27h2b1*,h2,b1,h2b1
3109,4+f28h2b3z2b2v1f3z3*,f3,z3,f3z3
3110,6f29b3f1*,b3,f1,b3f1
3111,5b28f1f1f3s2s+1f3z3m2o1*,m2,o1,m2o1
3112,4f29b2f1f1f2b3s3b1*,s3,b1,s3b1
3113,4s38b3s2z2f1v3*,f1,v3,f1v3
3114,5s28b+3b1v2*,b1,v2,b1v2
3115,5+b27z3m2o1*,m2,o1,m2o1
3116,6+r27f2m2o3*,m2,o3,m2o3
3117,5b28f+;3b;1v2f3*,v2,f3,v2f3
3118,5+f27h2f1*,h2,f1,h2f1
3119,6+f27v^3s+1v2z2z2v3*,z2,v3,z2v3
3120,6+f28v1f1*,v1,f1,v1f1
3121,4+f37z3s2v3*,s2,v3,s2v3
3122,6+f27h3b3*,h3,b3,h3b3
3123,6+s37i1l3p2f2f1*,f2,f1,f2f1
3124,6+f28z3b3z^2*,z3,b3,z3b3
3125,4+f17v2m2o3*,m2,o3,m2o3
3126,4+b37z2f1*,z2,f1,z2f1
3127,6+f;27r3m3o3*,m3,o3,m3o3
3128,4f29b2f3s3s+3b1v1*,b1,v1,b1v1
3129,5+f37z2l+3o1*,z2,o1,z2o1
3130,6+b38z1l3*,z1,l3,z1l3
3131,4+s18v1f3*,v1,f3,v1f3
3132,5+b28z1f3*,z1,f3,z1f3
3133,6+f28z3b3*,z3,b3,z3b3
3134,4+f38z1f2v3*,f2,v3,f2v3
3135,4b38b2f3s2f+1*,f3,s2,f3s2
3136,5+b37z1f3*,z1,f3,z1f3
3137,6+b17v1r3z2*,r3,z2,r3z2
3138,5+f28z3b3*,z3,b3,z3b3
3139,6+f37i2f1v3m3o1*,m3,o1,m3o1
3140,6f28f2b2b3b;1*,b2,b3,b2b3
3141,4+s;37s1f3z3*,f3,z3,f3z3
3142,6+f38z3b1v1*,b1,v1,b1v1
3143,4+b37z3m2p1*,m2,p1,m2p1
3144,5+f27h1f3*,h1,f3,h1f3
3145,4+b28v1f3*,v1,f3,v1f3
3146,6+f37z1f3*,z1,f3,z1f3
3147,4+b27b3s2z2f3*,z2,f3,z2f3
3148,c6+f17h3b3*,h3,b3,h3b3
3149,6+f28v3m3o1*,m3,o1,m3o1
3150,6+s37z3b1v2*,b1,v2,b1v2
3151,6+f27z3f1*,z3,f1,z3f1
3152,6+s38z1f1v^3*,z1,f1,z1f1
3153,6+f27h1f3z^3*,h1,f3,h1f3
3154,4+f17v2m2*,v2,m2,v2m2
3155,6+s27v3b3*,v3,b3,v3b3
3156,6+f27f1l2o1*,l2,o1,l2o1
3157,6+f28z3b3z^3s1*,b3,s1,b3s1
3158,6+f27v3m2o1*,m2,o1,m2o1
3159,c6+s28z3m3o2*,m3,o2,m3o2
3160,6+s28v3b1v1*,b1,v1,b1v1
3161,6+f27v3b1*,v3,b1,v3b1
3162,6+s38z1f3z2*,f3,z2,f3z2
3163,6+f37z3b3z1l3o3*,l3,o3,l3o3
3164,6+s27i3b3z2*,b3,z2,b3z2
3165,4+s28v1f3*,v1,f3,v1f3
3166,6+f27z3b3*,z3,b3,z3b3
3167,6+s27z1f1v3*,f1,v3,f1v3
3168,6+f27v3b1*,v3,b1,v3b1
3169,6+f17f3l2o2m3o1*,m3,o1,m3o1
