,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error,is_winner_or_forced_error
12256,c6+s27v3f3*,v3,f3,v3f3,1,0,1
12257,4+b28z3l2o1*,l2,o1,l2o1,1,0,1
12258,4+b37i1b3w#,i1,b3,i1b3,0,1,1
12259,5+b28v1f3w#,v1,f3,v1f3,0,1,1
12260,4+s27h3b3w@,h3,b3,h3b3,0,0,0
12261,6+f38v3s1n#,v3,s1,v3s1,0,1,1
12262,c6+f28v3b1z1*,b1,z1,b1z1,1,0,1
12263,4+f18z3m3o3b1d#,o3,b1,o3b1,0,1,1
12264,4+f28v2b1n@,v2,b1,v2b1,0,0,0
12265,4+f27i3f1v1*,f1,v1,f1v1,1,0,1
12266,4+b28z2f3n@,z2,f3,z2f3,0,0,0
12267,5+b28v3s1n#,v3,s1,v3s1,0,1,1
12268,4+b18v1l1o1*,l1,o1,l1o1,1,0,1
12269,5+f37z1m2o3f1f2s3d@,f2,s3,f2s3,0,0,0
12270,4+b28z3l2o1*,l2,o1,l2o1,1,0,1
12271,6+f28v3l3w#,v3,l3,v3l3,0,1,1
12272,5+b37i2b3z1n#,b3,z1,b3z1,0,1,1
12273,4+f28h2b3z1w#,b3,z1,b3z1,0,1,1
12274,6+b28v2b2n@,v2,b2,v2b2,0,0,0
12275,4+s27h2f1*,h2,f1,h2f1,1,0,1
12276,6+s27z2s3z1*,s3,z1,s3z1,1,0,1
12277,c4+s17h3f1*,h3,f1,h3f1,1,0,1
12278,6b28f3b2r1f1b1f1b2r3f3s2f3d@,s2,f3,s2f3,0,0,0
12279,5f28f2f1b2f1s3n#,f1,s3,f1s3,0,1,1
12280,6f38f3b3f2f2b+2f2z3m1w#,z3,m1,z3m1,0,1,1
12281,4f18f1f2d@,f1,f2,f1f2,0,0,0
12282,6b38f3b2b3b3f3b3f3s3r+3b2v3*,b2,v3,b2v3,1,0,1
12283,6b27y+3s1z2*,s1,z2,s1z2,1,0,1
12284,4b38f2f+1b1v3*,b1,v3,b1v3,1,0,1
12285,4f27f3b2f1f3d#,f1,f3,f1f3,0,1,1
12286,c5f28f3b3f+3b2n@,f+3,b2,f+3b2,0,0,0
